summary,title
"芬兰共和国（芬兰语：Suomen tasavalta，瑞典语：Republiken Finland），简称芬兰（芬兰语：Suomi， 瑞典语：Finland），位于欧洲北部，北欧五国之一，与瑞典、挪威、俄罗斯接壤，南临芬兰湾，西濒波的尼亚湾。国土总面积33.8万平方公里，海岸线长1100公里，内陆水域面积占全国面积的10%，有岛屿约17.9万个，湖泊约18.8万个，有“千湖之国”之称。芬兰冬季严寒漫长，夏季温和短暂，全国1/3的土地在北极圈内。
[1] 
芬兰是圣诞老人的故乡，最早的居民为拉普人，故芬兰又称拉普兰，芬兰人迁入后，建立了芬兰大公国。十二世纪后半期被瑞典统治。1809年俄瑞战争后并入俄罗斯帝国，成为大公国。1917年12月芬兰共和国宣布独立，成为一个永久中立国。
[1] 
芬兰是一个高度发达的资本主义国家，也是一个高度工业化、自由化的市场经济体，芬兰是欧盟成员国之一，但人均产出远高于欧盟平均水平，与其邻国瑞典相当。国民享有极高标准的生活品质，芬兰政府公务员清廉高效，并且在社会形成广泛共识。监督世界各国腐败行为的非政府组织“透明国际”公布2012年全球清廉指数报告，在176个国家和地区中，芬兰名列第一，为最清廉国家。
[1] 
2019年2月，2018年全球幸福指数出炉，芬兰排名第一
[2]",芬兰
瑞典语（svenska），主要使用地区为瑞典、芬兰（尤其是奥兰岛），使用人数超过九百万人。它和斯堪的那维亚地区另外两种语言——丹麦语和挪威语——是相通语言。瑞典成人的识字率高达99%。标准瑞典语是瑞典官方语言，来源于19世纪瑞典中部的方言，并在20世纪初固定下来。标准瑞典语的口语和书面语是统一且标准化的。如今从一些古老的偏远地区的方言演化下来的其它语言变体依旧存在，部分方言和标准瑞典语在语法和词汇上有很大区别，已经不能称为相同语言。这些方言只在很偏僻的地区使用，并且使用的人数很少，而这些人社会流动性很低。虽然目前没有迹象这些语言将成为死语，有很多学者认真研究这些方言，并且当地政府也鼓励人们使用这些方言，但是自上个世纪以来，使用这些方言的人数还是逐渐减少。瑞典语标准语序是主谓宾结构，有时为了强调某些词会更改语序。瑞典语的构词学和英语相近，词形变化相对较少；有两种词性，没有语法上的格（以前的研究认为有两种格，主格和属格）；单数和复数之间有区别。形容词根据词性、数量和限定范畴的不同发生改变。名词的限定范畴通过不同后缀来表示，同时前面加以定冠词和不定冠词。韵律特征体现在重音和声调上。瑞典语有大量元音。瑞典语还以清硬颚软颚擦音而著称，这是一种变化复杂的辅音音位。,瑞典语
海岸线是海洋与陆地的分界线，更确切的定义是海水到达陆地的极限位置的连线。随潮水涨落而变动。由于受到潮汐作用以及风暴潮等影响，海水有涨有落，海面时高时低，这条海洋与陆地的分界线时刻处于变化之中。因此，实际的海岸线应该是高低潮间无数条海陆分界线的集合，它在空间上是一条带，而不是一条地理位置固定的线。,海岸线
"波的尼亚湾（瑞典语作Bottniska Viken，芬兰语作Pohjan Lahti），波罗的海北部海湾，西岸为瑞典，东岸为芬兰。面积约117,000平方公里（45,200平方英里），南北长725公里（450英里），东西宽80～240公里（50～150英里）。南部湾口几乎被奥兰群岛封闭。海水含盐量极低，冬季封冻5个月。",波的尼亚湾
芬兰语（Suomi）是芬兰人的语言，大部分(92%)国民的语言，也被境外芬兰族侨民所用。它是芬兰的两种官方语言之一，也是瑞典的一种法定少数民族语言。属乌拉尔语系芬兰—乌戈尔语族（瑞典的芬兰语包括标准芬兰语和称为Menkieli的一种方言。）芬兰语辅音少，单词长，元音丰富，语法非常复杂，有15种变格。,芬兰语
芬兰湾（英语Gulf of Finland，俄语Финскийзалив，芬兰语Suomen Lahti），是波罗的海东部大海湾，位于芬兰、爱沙尼亚和俄罗斯之间。海水含盐量低，结冰期3-5个月。盐度3‰-6‰，深度和盐度均自东向西逐渐增加。,芬兰湾
北欧五国是位于北欧的挪威、瑞典、丹麦、芬兰和冰岛及其附属领土如法罗群岛、格陵兰、扬马延岛、斯瓦尔巴群岛和奥兰的统称。五国都是世界上高度发达的资本主义国家，社会福利体系在全球范围内处于领军地位。北欧相较于欧洲其他地区地域较为广大，资源较为丰富，加之先进的科技水平，发展潜力巨大。,北欧五国
"瑞典王国（瑞典语：Konungariket Sverige），简称瑞典（瑞典语：Sverige），是一个位于斯堪的纳维亚半岛的国家，北欧五国之一，首都为斯德哥尔摩。它西邻挪威，东北与芬兰接壤，西南濒临斯卡格拉克海峡和卡特加特海峡，东边为波罗的海与波的尼亚湾。瑞典与丹麦、德国、波兰、俄罗斯、立陶宛、拉脱维亚和爱沙尼亚隔海相望，海岸线长7624千米，总面积约45万平方公里，是北欧最大的国家。
[1] 
8~11世纪进入维京时代的北欧海盗全盛时期。
[2] 
 公元1100年前后，瑞典开始形成国家。从1397年起是受丹麦控制的卡尔马联盟成员，1523年重获独立。1611年至1721年间存在的瑞典帝国，曾是欧洲列强之一。瑞典在两次世界大战中都宣布中立，是一个永久中立国。
[1] 
由于气候寒冷，农业比重较小。工业发达而且种类繁多，瑞典拥有自己的航空业、核工业、汽车制造业、先进的军事工业，以及全球领先的电讯业和医药研究能力。在软件开发、微电子、远程通讯和光子领域，瑞典也居世界领先地位。瑞典是欧洲最大的铁矿砂出口国。按人口比例计算，瑞典是世界上拥有跨国公司最多的国家。瑞典是一个高度发达的资本主义国家，欧盟成员国之一，被视为具有社会自由主义倾向以及极力追求平等，设立许多社会福利制度，且在联合国开发计划署的人类发展指数中通常名列前茅。拥有15处世界文化遗产，森林覆盖率为54%。瑞典风景名胜主要有诺贝尔纪念馆和瑞典王宫。
[1] 
 2019年2月，2018年全球幸福指数出炉，瑞典排名第九。
[3]",瑞典
"俄罗斯联邦（俄：Российская Федерация，英：Russian Federation），又称俄罗斯（俄：Россия，英：Russia），简称俄联邦、俄国。是由22个自治共和国、46个州、9个边疆区、4个自治区、1个自治州、3个联邦直辖市组成的联邦共和立宪制国家。国旗为白、蓝、红三色旗。国徽主体为双头鹰图案。俄罗斯位于欧亚大陆北部，地跨欧亚两大洲，国土面积为1709.82万平方公里，是世界上面积最大的国家，也是一个由194个民族构成的统一多民族国家，主体民族为俄罗斯人，约占全国总人口的77.7%。俄罗斯人的祖先为东斯拉夫人罗斯部族。公元15世纪末，大公伊凡三世建立莫斯科大公国。1547年伊凡四世自称沙皇，1721年彼得一世被元老院授予“全俄罗斯皇帝”的头衔，并建立俄罗斯帝国。对外走上了侵略扩张的道路，曾吞并欧亚多个国家，于18世纪中后期叶卡捷琳娜二世统治时达到鼎盛时期。1917年十月革命后建立了苏维埃俄国。1922年12月30日，俄罗斯联邦同南高加索联邦、乌克兰和白俄罗斯组建苏联。冷战期间成为超级大国，通过大力发展军事力量来同美国争霸。
[1] 
1991年12月25日苏联解体后，最大加盟国俄罗斯继承苏联大部分军事力量。拥有世上最大的核武器库。在“一超多强”的国际体系中，俄罗斯是有较大影响力的强国，其军工实力雄厚，特别是高等教育、航空航天技术，居世界前列。俄罗斯还是联合国安全理事会五大常任理事国之一，对安理会议案拥有一票否决权。此外，俄罗斯还是金砖国家之一。
[2]",俄罗斯
"挪威王国（挪威语：Kongeriket Norge或 Kongeriket Noreg），简称“挪威”（挪威语：Norge 或Noreg）， 意为“通往北方之路”，是北欧五国之一，位于斯堪的纳维亚半岛西部。挪威领土南北狭长，海岸线漫长曲折，沿海岛屿很多，被称为“万岛之国”，领土与瑞典、芬兰、俄罗斯接壤，属地还包括斯瓦尔巴群岛和扬马延岛。首都为奥斯陆。
[1-2] 
9世纪形成统一王国，8~11世纪进入维京时代的北欧海盗全盛时期。14世纪开始衰落，从1397年起是受丹麦控制的卡尔马联盟成员。1814年起成为瑞典属国，1905年宣布独立。
[1] 
挪威是高度发达的工业化国家，石油工业是国民经济的重要支柱，挪威也是西欧最大的产油国和世界第三大的石油出口国。自2001年起挪威已连续六年被联合国评为最适宜居住的国家，并于2009年—2018年连续获得全球人类发展指数第一的排名。
[1] 
挪威是一个高度发达的资本主义国家，也是当今世界上最富有的国家之一，北约成员国之一，经济是市场自由化和政府宏观调控成功结合的范例。挪威还是创建现代福利国家的先驱之一。此外，造纸，造船，机械，水电，化工，木材加工也是挪威的传统发达产业。挪威目前还不是欧盟成员国，不使用欧元。
[1] 
  2017年，挪威被联合国评为世界上最幸福的国家。
[3] 
2019年2月，2018年全球幸福指数出炉，挪威排名第二。
[4]",挪威
"芬兰共和国（芬兰语：Suomen tasavalta，瑞典语：Republiken Finland），简称芬兰（芬兰语：Suomi， 瑞典语：Finland），位于欧洲北部，北欧五国之一，与瑞典、挪威、俄罗斯接壤，南临芬兰湾，西濒波的尼亚湾。国土总面积33.8万平方公里，海岸线长1100公里，内陆水域面积占全国面积的10%，有岛屿约17.9万个，湖泊约18.8万个，有“千湖之国”之称。芬兰冬季严寒漫长，夏季温和短暂，全国1/3的土地在北极圈内。
[1] 
芬兰是圣诞老人的故乡，最早的居民为拉普人，故芬兰又称拉普兰，芬兰人迁入后，建立了芬兰大公国。十二世纪后半期被瑞典统治。1809年俄瑞战争后并入俄罗斯帝国，成为大公国。1917年12月芬兰共和国宣布独立，成为一个永久中立国。
[1] 
芬兰是一个高度发达的资本主义国家，也是一个高度工业化、自由化的市场经济体，芬兰是欧盟成员国之一，但人均产出远高于欧盟平均水平，与其邻国瑞典相当。国民享有极高标准的生活品质，芬兰政府公务员清廉高效，并且在社会形成广泛共识。监督世界各国腐败行为的非政府组织“透明国际”公布2012年全球清廉指数报告，在176个国家和地区中，芬兰名列第一，为最清廉国家。
[1] 
2019年2月，2018年全球幸福指数出炉，芬兰排名第一
[2]",芬兰
summary,title
"芬兰共和国（芬兰语：Suomen tasavalta，瑞典语：Republiken Finland），简称芬兰（芬兰语：Suomi， 瑞典语：Finland），位于欧洲北部，北欧五国之一，与瑞典、挪威、俄罗斯接壤，南临芬兰湾，西濒波的尼亚湾。国土总面积33.8万平方公里，海岸线长1100公里，内陆水域面积占全国面积的10%，有岛屿约17.9万个，湖泊约18.8万个，有“千湖之国”之称。芬兰冬季严寒漫长，夏季温和短暂，全国1/3的土地在北极圈内。
[1] 
芬兰是圣诞老人的故乡，最早的居民为拉普人，故芬兰又称拉普兰，芬兰人迁入后，建立了芬兰大公国。十二世纪后半期被瑞典统治。1809年俄瑞战争后并入俄罗斯帝国，成为大公国。1917年12月芬兰共和国宣布独立，成为一个永久中立国。
[1] 
芬兰是一个高度发达的资本主义国家，也是一个高度工业化、自由化的市场经济体，芬兰是欧盟成员国之一，但人均产出远高于欧盟平均水平，与其邻国瑞典相当。国民享有极高标准的生活品质，芬兰政府公务员清廉高效，并且在社会形成广泛共识。监督世界各国腐败行为的非政府组织“透明国际”公布2012年全球清廉指数报告，在176个国家和地区中，芬兰名列第一，为最清廉国家。
[1] 
2019年2月，2018年全球幸福指数出炉，芬兰排名第一
[2]",芬兰
"芬兰人（Finnish,Finn），北欧民族之一。约519万人(1978)，其中有442.5万人分布在芬兰，占该国人口93.1%；其余76.5万人分布在瑞典、挪威、俄罗斯、德国、美国和加拿大。",芬兰人
芬兰湾（英语Gulf of Finland，俄语Финскийзалив，芬兰语Suomen Lahti），是波罗的海东部大海湾，位于芬兰、爱沙尼亚和俄罗斯之间。海水含盐量低，结冰期3-5个月。盐度3‰-6‰，深度和盐度均自东向西逐渐增加。,芬兰湾
北欧民族。自称萨阿米人。主要分布在挪威、瑞典、芬兰和俄罗斯的北极地区。使用拉普语，属乌拉尔语系芬兰-乌戈尔语族。多信基督教路德宗，少数信东正教，并广泛保留原始宗教残余。拉普人的祖先早自1万年前便开始从乌拉尔地区陆续迁入斯堪的纳维亚，原分布地区较广，后受日耳曼部落和芬兰部落排挤，逐渐北移。部分人被后来者同化。,拉普人
"波的尼亚湾（瑞典语作Bottniska Viken，芬兰语作Pohjan Lahti），波罗的海北部海湾，西岸为瑞典，东岸为芬兰。面积约117,000平方公里（45,200平方英里），南北长725公里（450英里），东西宽80～240公里（50～150英里）。南部湾口几乎被奥兰群岛封闭。海水含盐量极低，冬季封冻5个月。",波的尼亚湾
海岸线是海洋与陆地的分界线，更确切的定义是海水到达陆地的极限位置的连线。随潮水涨落而变动。由于受到潮汐作用以及风暴潮等影响，海水有涨有落，海面时高时低，这条海洋与陆地的分界线时刻处于变化之中。因此，实际的海岸线应该是高低潮间无数条海陆分界线的集合，它在空间上是一条带，而不是一条地理位置固定的线。,海岸线
北极圈，是指北寒带与北温带的界线，其纬度数值为北纬66°34'，与黄赤交角互余，其以内大部分是北冰洋 。北极圈的范围包括了格陵兰岛、北欧和俄罗斯北部，以及加拿大北部。北极圈内岛屿很多，最大的是格陵兰岛。由于严寒，北冰洋区域内的生物种类相对较少，植物以地衣、苔藓为主，树木稀少，动物著名的有北极熊、海豹、鲸等。,北极圈
